year,15-64,65+,<15
2020,1.0,1.0,1.0
2030,0.8285965348107369,0.880163446991269,0.34247056879015547
2040,0.646354227352006,0.8231923397138847,0.2840006890111465
2050,0.45862788146233585,0.8081692007429666,0.14478623433670074
