year,15-64,65+,<15
2020,1.0,1.0,1.0
2030,0.8583544040639013,0.9250473018354,0.5825979847967808
2040,0.7419233861474094,0.8706903329695219,0.4353493383880758
2050,0.5735590553382238,0.7852907270718898,0.2592392978027288
