year,15-64,65+,<15
2020,1.0,1.0,1.0
2030,0.8279255708589394,0.9802531102789217,0.5602222926582267
2040,0.612441132065313,0.9359042186734348,0.4668448002407199
2050,0.49166850692128555,0.9210217565441877,0.3145080854697659
