year,15-64,65+,<15
2020,1.0,1.0,1.0
2030,0.8319065230064221,0.8890936926906745,0.2846934237410816
2040,0.6960256584035641,0.8712247804936618,0.2356576282000773
2050,0.5141183797650667,0.8406296083494662,0.15999945011694872
