year,15-64,65+,<15
2020,1.0,1.0,1.0
2030,0.8493429134077942,0.928706466145853,0.627359334052721
2040,0.7514596591128072,0.8940717978058649,0.5715628329174147
2050,0.6093825566087268,0.8397100176059631,0.37570947905789537
