year,15-64,65+,<15
2020,1.0,1.0,1.0
2030,0.8037783409290126,0.8316058623080499,0.5294390842487808
2040,0.6489370883436225,0.7913041494706118,0.41225202723833776
2050,0.5359241584428669,0.7940654575884957,0.2471272918682415
