year,15-64,65+,<15
2020,1.0,1.0,1.0
2030,0.765220005700575,0.9638683194701945,0.6582780582645718
2040,0.6227783708633904,1.0149996918777617,0.4060717758229285
2050,0.4508924778969477,0.9400861660972416,0.1677611256464516
