year,15-64,65+,<15
2020,1.0,1.0,1.0
2030,0.8297948311291985,0.9442030920118578,0.7007179445047493
2040,0.7005496766080296,0.9029530682402248,0.4288605508915858
2050,0.4836832600638393,0.7897788396687871,0.2862190507249487
