year,15-64,65+,<15
2020,1.0,1.0,1.0
2030,0.8081186902729477,0.8718686695003833,0.46047025161454974
2040,0.6412644684293569,0.7750886393115917,0.28720179680324803
2050,0.450533162781097,0.7346502287074298,0.2828094873761326
