year,15-64,65+,<15
2020,1.0,1.0,1.0
2030,0.770181794779005,0.8664671162473125,0.48929943177234786
2040,0.6326833515158512,0.8336654418752676,0.32647493430913843
2050,0.47740908729974646,0.7787814998529279,0.22258091972272456
