cost,benefit,trees,ac,ews,scenario
883575581.9808067,47.26213515181006,1.0,1.0,1.0,Unconstrained
883575581.9808066,47.26213515181006,0.9999999999999996,1.0,1.0,Min 20% Trees
767605835.3582727,43.130217718611675,1.0,0.8,1.0,Max 80% AC
767605835.3582726,43.130217718611675,0.9999999999999996,0.8,1.0,Balanced
