year,scenario,baseline_deaths_total,baseline_deaths_on_warning_days,baseline_warning_days,ramp_factor,ac_coverage,ac_penalty,gross_avoided_deaths,net_avoided_deaths,life_years_saved,policy_deaths_total,gross_avoided_<15,gross_avoided_15-64,gross_avoided_65+,net_avoided_<15,net_avoided_15-64,net_avoided_65+,lys_<15,lys_15-64,lys_65+
2020,central,5.778905176239649,4.912684763700606,15,0.08,0.2528350353240967,0.9494329929351807,0.055971179982567926,0.04294151872909688,0.5904226566384954,5.735963657510552,0.0,0.006420891614472891,0.04955028836809504,0.0,0.005778802453025602,0.037162716276071275,0.0,0.14447006132564005,0.4459525953128553
2030,central,10.011502193416469,8.718054387842711,19,1.0,0.2615669369697571,0.9476866126060486,1.2392975146994936,0.94597476660125,12.638824384192137,9.065527426815219,0.0,0.11001087051086642,1.1292866441886271,0.0,0.09900978345977977,0.8469649831414703,0.0,2.4752445864944943,10.163579797697643
2040,central,15.929269378342024,14.50791876107692,27,1.0,0.2615669369697571,0.9476866126060486,2.062344057997309,1.565635432595975,20.26006154079516,14.363633945746049,0.0,0.12584926065328722,1.9364947973440219,0.0,0.1132643345879585,1.4523710980080164,0.0,2.8316083646989623,17.4284531760962
2050,central,18.591742025219883,17.059943387976052,31,1.0,0.28426608443260193,0.9431467831134797,2.4135046089701535,1.8278055868343834,23.312483190340537,16.7639364383855,0.0,0.11784753404512258,2.295657074925031,0.0,0.10606278064061032,1.7217428061937732,0.0,2.651569516015258,20.66091367432528
2020,high,5.778905176239649,4.912684763700606,15,0.08,0.2528350353240967,0.8988659858703614,0.09891493322802672,0.061618420989835776,0.8574330266350563,5.717286755249813,0.0,0.011347305265098744,0.08756762796292797,0.0,0.009077844212078995,0.05254057677775678,0.0,0.22694610530197487,0.6304869213330814
2030,high,10.011502193416469,8.718054387842711,19,1.0,0.2615669369697571,0.8953732252120972,2.1856554929488174,1.3501968696592064,18.22014827818612,8.661305323757261,0.0,0.19401786944958074,1.9916376234992366,0.0,0.1552142955596646,1.194982574099542,0.0,3.880357388991615,14.339790889194504
2040,high,15.929269378342024,14.50791876107692,27,1.0,0.2615669369697571,0.8953732252120972,3.6372005634217497,2.2267105066070636,29.028814844093482,13.702558871734961,0.0,0.2219508427700691,3.4152497206516808,0.0,0.1775606742160553,2.0491498323910085,0.0,4.439016855401382,24.5897979886921
2050,high,18.591742025219883,17.059943387976052,31,1.0,0.28426608443260193,0.8862935662269592,4.2336330581886115,2.5815241285271187,33.12819281025091,16.010217896692765,0.0,0.20672146806975863,4.026911590118853,0.0,0.1653771744558069,2.4161469540713116,0.0,4.134429361395172,28.993763448855738
2020,low,5.778905176239649,4.912684763700606,15,0.08,0.2528350353240967,0.9747164964675903,0.030646239239193393,0.02775739879938798,0.37650730616879513,5.751147777440261,0.0,0.003515669682278492,0.0271305695569149,0.0,0.003339886198164567,0.02441751260122341,0.0,0.08349715495411418,0.29301015121468094
2030,low,10.011502193416469,8.718054387842711,19,1.0,0.2615669369697571,0.9738433063030243,0.6792015127669068,0.6142959543860109,8.116155897893444,9.397206239030458,0.0,0.06029185791589589,0.6189096548510109,0.0,0.057277265020101095,0.5570186893659098,0.0,1.4319316255025274,6.684224272390917
2040,low,15.929269378342024,14.50791876107692,27,1.0,0.2615669369697571,0.9738433063030243,1.1302751659090258,1.0206962565816116,13.100161073060908,14.908573121760412,0.0,0.06897214526976278,1.061303020639263,0.0,0.06552353800627464,0.9551727185753368,0.0,1.638088450156866,11.462072622904042
2050,low,18.591742025219883,17.059943387976052,31,1.0,0.28426608443260193,0.9715733915567398,1.3259989645777497,1.1966363875669956,15.159254554218114,17.395105637652886,0.0,0.06474638894041827,1.2612525756373314,0.0,0.06150906949339736,1.1351273180735983,0.0,1.537726737334934,13.62152781688318
