scenario,pv_capex,pv_om,pv_total,eac,cum_avoided_25y,cost_per_death
base_om,138663630.55402526,160056234.2042958,298719864.75832105,17154845.870166548,0.647305323255964,461482169.2733063
5x_om,138663630.55402526,693318152.7701263,831981783.3241516,47778942.559642926,0.647305323255964,1285300388.291664
