policy,total_pv,public_pv,private_pv,public_share
Trees,298719864.75832105,298719864.75832105,0.0,1.0
AC,579848733.1126704,34756612.02746518,545092121.0852053,0.05994082601662186
EWS,5006984.109815276,5006984.109815276,0.0,1.0
