year,t,n_warning_days,cost_capex,cost_opex_variable,cost_opex_fixed,cost_total,discount_factor,cost_pv
2020,0,15,100000.0,218086.43010000003,0.0,318086.4301,1.0,318086.4301
2030,10,19,0.0,288297.13745,0.0,288297.13745,1.3439163793441222,214520.1456586897
2040,20,27,0.0,411219.72297000006,0.0,411219.72297000006,1.8061112346694148,227682.3902517103
2050,30,31,0.0,478835.64162,0.0,478835.64162,2.427262471189662,197273.94433174367
