year,tree_cooling_C,ac_warming_C,net_dT_C,trees_on_top_deaths,ac_penalty_deaths,net_health_impact
2020,,0.1444699876537366,,0.0,0.0162134621461686,-0.0162134621461686
2021,,0.144363204053693,,0.0005966245832303,0.0177764858778208,-0.0171798612945905
2022,,0.1442573322409234,,0.0013718822540258,0.0194097445398233,-0.0180378622857975
2023,,0.144152360588484,,0.0023440489332391,0.0211130427199901,-0.018768993786751002
2024,,0.144048277666254,,0.0035314005417223,0.0228861883197975,-0.0193547877780752
2025,,0.1439450722367888,,0.0049522130003278,0.0247289924844493,-0.019776779484121498
2026,,0.1438427332512776,,0.0066247622299081,0.0266412695347052,-0.0200165073047971
2027,,0.1437412498456022,,0.0085673241513154,0.0286228369004215,-0.0200555127491061
2028,,0.1436406113364947,,0.0106560934395417,0.0306735150557533,-0.0200174216162116
2029,,0.1435408072177905,,0.0128910700945867,0.0327931274559708,-0.0199020573613841
2030,,0.1434418271567737,,0.0152722541164507,0.0349815004758425,-0.0197092463593918
2031,,0.1434352589906299,,0.0178260484794319,0.037667481606516,-0.0198414331270841
2032,,0.1434286858858137,,0.0205317589604317,0.0404516674485317,-0.0199199084881
2033,,0.1434221078367532,,0.0233893855594501,0.0433340420869249,-0.0199446565274748
2034,,0.1434155248378673,,0.0263989282764869,0.0463145895827792,-0.0199156613062923
2035,,0.1434089368835673,,0.0295603871115423,0.0493932939731814,-0.0198329068616391
2036,,0.1434023439682556,,0.0328737620646163,0.0525701392711764,-0.019696377206560103
2037,,0.1433957460863263,,0.0363390531357087,0.0558451094657223,-0.0195060563300136
2038,,0.1433891432321652,,0.0399562603248197,0.0592181885216441,-0.0192619281968244
2039,,0.1433825354001495,,0.0437253836319492,0.0626893603795891,-0.018963976747639895
2040,,0.1433759225846476,,0.0476464230570973,0.0662586089559808,-0.018612185898883506
2041,,0.1431037092166181,,0.0514275438034017,0.0679520032354497,-0.016524459432048
2042,,0.1428321085638856,,0.0553302601693494,0.0696617790920553,-0.0143315189227059
2043,,0.1425611185860879,,0.0593545721549404,0.0713877654479428,-0.012033193293002398
2044,,0.1422907372517675,,0.0635004797601745,0.0731297920037852,-0.009629312243610688
