muni_id,muni_name,gvi,thermal_vuln,foreign_vuln,unemp_vuln,svi
1,amager ost,11.32478789010505,0.5278116874065784,0.4892532229639647,0.5275879832142092,0.5153765649722211
2,amager vest,12.05327461181381,0.5025891642869041,0.5528588805951102,0.5444879670533883,0.5334384508135168
3,bispebjerg,14.00998640440316,0.5309793040407721,0.6624929023984425,0.6911881354417904,0.6282201039536556
4,bronshoj husum,15.384768745659152,0.525578090158479,0.616161900396148,0.6131778051917398,0.5849726017642775
5,indre by,7.611424092747662,0.5240570436678704,0.5011308711452945,0.5174400544174305,0.5142145528812702
6,norrebro,10.223535921984215,0.5354244988279414,0.5459647430530338,0.5942368036364394,0.5585420239983778
7,osterbro,11.153616739705116,0.5283170423722023,0.4757247766147604,0.5000890252903271,0.5017391802812226
8,valby,14.606098745834196,0.5269588525671963,0.5526117064236319,0.5472412551524438,0.5424063554539769
9,vanlose,13.923057733953437,0.5293827403450766,0.4573404919801067,0.49078071192207573,0.49250131912553113
10,vesterbro kongens enghave,11.802410276506135,0.5328474291937553,0.5547727991684791,0.5633388517866946,0.5503206983633128
