Policy,% Reduction,Deaths/100K/year,Mechanism
EWS (marginal),-9.1%,-0.09,Vulnerability (behavior)
Trees (uniform),-0.2%,-0.00,Hazard (cooling)
AC (NET),-7.2%,-0.07,Exposure (indoor)
Urban et al. Italy HPP,-11.6% [-16.4; -6.7],-0.9 [-1.2; -0.5],Full HPP (counterfactual)
