discount_rate,trees_pv,ac_pv,ews_pv,trees_per_death,ac_per_death,ews_per_death
0.01,399509307.0017672,733359594.6323303,6332547.830868778,617188354.0092407,35497301.506562784,243979.527111216
0.03,298719864.75832105,579848733.1126704,5006984.109815276,461482169.2733072,28066811.23169628,192908.39137625738
0.05,228696372.83307716,469321000.7788923,4052578.9901931384,353305255.8300129,22716862.491398137,156137.2029103999
0.07,179114186.23556265,388058239.7815521,3350876.408471126,276707420.44050187,18783445.99355504,129102.10287898516
