Policy,PV_Cost_EUR,Avoided_Deaths_25y,Cost_per_Death_EUR,EAC_EUR_yr
Trees (base O&M),298719864.75832105,0.6473053232559628,461482169.2733072,17154845.870166548
Trees (5x O&M),831981783.3241516,0.6473053232559628,1285300388.2916665,47778942.559642926
AC (NET),579848733.1126704,20.659587165991923,28066811.23169628,33299478.26739605
AC (NET + trees),579078686.8098358,20.686100236020454,27993613.112320375,33255256.14762271
AC (GROSS),579848733.1126704,21.731301152573945,26682651.39954543,33299478.26739605
EWS (central),5006984.109815276,25.95524266256217,192908.39137625738,287540.43775343365
