region_id,region_name,gvi_baseline,dGVI_points,gvi_policy,n_pixels,population
1,1,11.32478789010505,2.67521210989495,14.0,743,63402.80859375
2,2,12.05327461181381,1.9467253881861897,14.0,1036,81767.9296875
3,3,14.009986404403161,0.0,14.009986404403161,584,53899.296875
4,4,15.384768745659152,0.0,15.384768745659152,707,40772.48828125
5,5,7.611424092747662,6.388575907252338,14.0,787,53235.17578125
6,6,10.223535921984217,3.776464078015783,14.0,396,74692.515625
7,7,11.153616739705116,2.8463832602948838,14.0,766,78425.0390625
8,8,14.606098745834197,0.0,14.606098745834197,824,66262.171875
9,9,13.923057733953437,0.07694226604656329,14.0,591,40983.875
10,10,11.802410276506135,2.1975897234938646,14.0,772,75046.046875
