muni_id,ac_base_muni,ac_policy_muni,ac_policy_uniform,pop_muni,year,region_name
1,0.23099571466445923,0.699999988079071,0.4714892506599426,64301.87564846169,2020,amager ost
2,0.2561935484409333,0.2561935484409333,0.49668711423873907,83735.43929677404,2020,amager vest
3,0.1557614058256149,0.6999999880790712,0.3962549567222596,54438.13787074876,2020,bispebjerg
4,0.19170740246772766,0.699999988079071,0.432200938463211,41507.79762716792,2020,bronshoj husum
5,0.33915591239929205,0.33915591239929205,0.5796494483947754,54907.07538773166,2020,indre by
6,0.17396409809589386,0.699999988079071,0.4144576489925384,75173.806240201,2020,norrebro
7,0.32025620341300964,0.32025620341300964,0.5607497692108153,79400.08422555904,2020,osterbro
8,0.20910422503948214,0.699999988079071,0.4495977759361268,66760.76861118712,2020,valby
9,0.3018096089363098,0.3018096089363098,0.5423031449317932,41420.61285733152,2020,vanlose
10,0.28294143080711365,0.28294143080711365,0.5234349370002747,75377.72734529153,2020,vesterbro kongens enghave
1,0.23878745734691614,0.6999999880790712,0.47636035084724415,67104.46583646303,2030,amager ost
2,0.2650700509548188,0.2650700509548188,0.5026429295539856,87363.01930857266,2030,amager vest
3,0.1603143662214279,0.6999999880790709,0.39788725972175604,56816.81039860245,2030,bispebjerg
4,0.19780780375003817,0.6999999880790712,0.4353806972503662,43316.75929012759,2030,bronshoj husum
5,0.3516038656234741,0.3516038656234741,0.5891767740249634,57320.174740674905,2030,indre by
6,0.17930066585540771,0.699999988079071,0.41687354445457453,78444.59498918056,2030,norrebro
7,0.33189055323600775,0.33189055323600775,0.5694634318351746,82859.09454178851,2030,osterbro
8,0.21595355868339536,0.699999988079071,0.4535264372825622,69659.14325563889,2030,valby
9,0.31264984607696533,0.31264984607696533,0.5502226948738098,43224.93476165179,2030,vanlose
10,0.29296937584877014,0.29296937584877014,0.530542254447937,78666.2404885795,2030,vesterbro kongens enghave
1,0.23878745734691623,0.6999999880790712,0.47636035084724426,66849.37492710259,2040,amager ost
2,0.2650700509548187,0.2650700509548187,0.5026429295539856,86896.36515702376,2040,amager vest
3,0.16031436622142792,0.699999988079071,0.397887259721756,56564.88290221454,2040,bispebjerg
4,0.19780780375003817,0.699999988079071,0.4353806972503662,43531.182909336014,2040,bronshoj husum
5,0.3516038656234741,0.3516038656234741,0.5891767740249634,57388.88299240265,2040,indre by
6,0.17930066585540771,0.699999988079071,0.4168735444545746,77733.27257144451,2040,norrebro
7,0.33189055323600763,0.33189055323600763,0.5694634318351746,82810.83977726579,2040,osterbro
8,0.2159535586833954,0.699999988079071,0.45352643728256226,69342.38922887482,2040,valby
9,0.31264984607696533,0.31264984607696533,0.5502226948738098,43331.23475780245,2040,vanlose
10,0.29296937584877014,0.29296937584877014,0.5305422544479371,77830.47271584347,2040,vesterbro kongens enghave
1,0.2590425908565521,0.699999988079071,0.48902302980422974,67693.09380848613,2050,amager ost
2,0.2881450653076172,0.2881450653076172,0.5181254744529724,87930.98460142397,2050,amager vest
3,0.1721500605344772,0.699999988079071,0.402130514383316,57278.55271997821,2050,bispebjerg
4,0.2136662155389786,0.6999999880790712,0.44364663958549505,44133.81178237316,2050,bronshoj husum
5,0.3839631676673889,0.3839631676673889,0.613943576812744,58213.32772832364,2050,indre by
6,0.19317340850830078,0.699999988079071,0.42315384745597834,78619.45539027452,2050,norrebro
7,0.36213478446006775,0.36213478446006775,0.5921152234077454,83927.70110651042,2050,osterbro
8,0.23375882208347323,0.699999988079071,0.46373924612998957,70180.62857760675,2050,valby
9,0.3408297002315521,0.3408297002315521,0.5708101391792297,43934.305104916915,2050,vanlose
10,0.3190377354621888,0.3190377354621888,0.549018144607544,78678.78834195249,2050,vesterbro kongens enghave
