region_id,region_name,gvi_baseline,dGVI_points,gvi_policy,n_pixels,population
1,ajuda,24.040357009370222,0.0,24.040357009370222,148,11459.2255859375
2,alcantara,24.043077331824584,0.0,24.043077331824584,304,13552.08984375
3,alvalade,13.09265015161028,5.607349848389719,18.7,467,30049.22265625
4,areeiro,17.05719688402393,1.6428031159760685,18.7,152,19245.56640625
5,arroios,19.56228974220484,0.0,19.56228974220484,177,27841.10546875
6,avenidas novas,13.620736696841696,5.079263303158303,18.7,296,23941.083984375
7,beato,19.916988938938925,0.0,19.916988938938925,143,10415.833984375
8,belem,10.707455901091413,7.992544098908587,18.7,512,18265.69921875
9,benfica,14.737175895686066,3.962824104313933,18.7,444,33663.13671875
10,campo de ourique,21.831408485653746,0.0,21.831408485653746,147,18538.828125
11,campolide,15.948626618867944,2.751373381132055,18.7,257,14719.720703125
12,carnide,11.22543922000679,7.47456077999321,18.7,337,17321.87890625
13,estrela,14.16267159257488,4.53732840742512,18.7,297,22466.14453125
14,lumiar,14.360847593257022,4.339152406742977,18.7,633,45989.33203125
15,marvila,14.91676924921938,3.7832307507806195,18.7,637,35866.7578125
16,misericordia,8.195483759665297,10.504516240334702,18.7,101,8729.16015625
17,olivais,12.098414300160734,6.601585699839266,18.7,670,32590.45703125
18,parque das nacoes,14.738723506237093,3.961276493762906,18.7,386,23006.32421875
19,penha de franca,19.9797704390252,0.0,19.9797704390252,236,30850.197265625
20,santa clara,11.359497419634774,7.340502580365225,18.7,349,25030.916015625
21,santa maria maior,8.909788874669204,9.790211125330796,18.7,153,10851.4677734375
22,santo antonio,16.883540102750914,1.8164598972490857,18.7,186,15551.3134765625
23,sao domingos de benfica,12.366838945562105,6.333161054437895,18.7,420,36902.73046875
24,sao vicente,18.319875116773257,0.38012488322674187,18.7,151,16638.7265625
