scenario,pv_capex,pv_om,pv_total,eac,cum_avoided_25y,cost_per_death
base_om,654025764.6492985,754926872.6349025,1408952637.2842011,80913150.35419607,118.6700341441682,11872859.458121605
5x_om,654025764.6492985,3270128823.2464914,3924154587.89579,225355843.611281,118.6700341441682,33067780.05244751
