discount_rate,trees_pv,ac_pv,ews_pv,trees_per_death,ac_per_death,ews_per_death
0.01,1884339671.13345,551738078.132326,21071339.8235451,15878816.288568938,9334103.824980084,106195.94643661569
0.03,1408952637.2842011,436245230.79355496,16660571.145584824,11872859.458121605,7380237.904121678,83966.42718480354
0.05,1078677368.514439,353090446.8860281,13484820.224785184,9089719.87994872,5973455.560651658,67961.18606081833
0.07,844816280.5502868,291952964.1223678,11149928.495669743,7119036.297941468,4939153.897721897,56193.731353293064
