Policy,PV_Cost_EUR,Avoided_Deaths_25y,Cost_per_Death_EUR,EAC_EUR_yr
Trees (base O&M),1408952637.2842011,118.6700341441682,11872859.458121605,80913150.35419607
Trees (5x O&M),3924154587.89579,118.6700341441682,33067780.05244751,225355843.611281
AC (NET),436245230.79355496,59.10991440396832,7380237.904121678,25052634.855446804
AC (NET + trees),434690852.3670302,67.3938296956444,6450009.657117377,24963370.21162234
AC (GROSS),436245230.79355496,168.3982747733978,2590556.413838448,25052634.855446804
EWS (central),16660571.145584824,198.41943624582487,83966.42718480354,956781.1311868584
