cost,benefit,trees,ac,ews,scenario
1495530753.5294485,345.3451759164776,0.74,1.0,1.0,Unconstrained
1495530753.5294483,345.3451759164776,0.7399999999999998,1.0,1.0,Min 20% Trees
1492818865.6077898,340.6433950843341,0.8,0.8,1.0,Max 80% AC
1492818865.6077893,340.6433950843341,0.7999999999999997,0.8,1.0,Balanced
