year,t,n_warning_days,cost_capex,cost_opex_variable,cost_opex_fixed,cost_total,discount_factor,cost_pv
2020,0,28,0.0,695358.2787200001,0.0,695358.2787200001,1.0,695358.2787200001
2030,10,41,0.0,1014747.37231,0.0,1014747.37231,1.3439163793441222,755067.3448933124
2040,20,51,0.0,1234214.6237400002,0.0,1234214.6237400002,1.8061112346694148,683354.7126270477
2050,30,58,0.0,1374315.76114,0.0,1374315.76114,2.427262471189662,566199.896983705
