tree_age,pv_om,pv_total,avoided_deaths,cost_per_death
5,754926872.6349025,1408952637.2842011,118.6700341441682,11872859.458121605
0,522506386.2413991,1176532150.8906977,81.49453204740789,14436945.907073528
