muni_id,muni_name,gvi,thermal_vuln,foreign_vuln,unemp_vuln,svi
1,ajuda,24.040357009370226,0.661887984844663,0.39017396496307877,0.4301371660094358,0.49407930800586264
2,alcantara,24.043077331824584,0.6478450425173373,0.47240899711043255,0.30991724370954976,0.4767321820303955
3,alvalade,13.09265015161028,0.6591755326372563,0.38312540749343205,0.2583040010002806,0.4335349781599118
4,areeiro,17.05719688402393,0.6958541946737199,0.46954464710033156,0.2620016581797853,0.4758001678234554
5,arroios,19.56228974220484,0.7011403380454511,0.6776815481185107,0.31068876114845834,0.5631702158757326
6,avenidas novas,13.620736696841696,0.6790129173779516,0.48551163230755906,0.2602798999306318,0.4749348094806836
7,beato,19.916988938938925,0.6842957555103346,0.47712498933456315,0.5888327111099096,0.583417833059897
8,belem,10.707455901091413,0.6518082567034924,0.3991380349373338,0.2981065655313223,0.4496842882432666
9,benfica,14.737175895686066,0.6486046866377443,0.44082343499339904,0.30549260682420915,0.4660332725262208
10,campo de ourique,21.831408485653743,0.6996334444750175,0.45283751361491065,0.320500614166296,0.490990528652548
11,campolide,15.948626618867944,0.6517485538027905,0.46782618362560996,0.34285003333450215,0.4874749236664829
12,carnide,11.22543922000679,0.5679625900056698,0.4178246638663506,0.39452018640109054,0.46010248031649414
13,estrela,14.16267159257488,0.6726553122429839,0.5105322139004107,0.3281032936179614,0.5037636141974152
14,lumiar,14.360847593257022,0.5998546026934979,0.39520970776050623,0.25883260943377717,0.41796563827834043
15,marvila,14.91676924921938,0.6499418741797512,0.36484825337914034,0.5666372440320723,0.5271424598758198
16,misericordia,8.195483759665297,0.7060988545417787,0.7035744334931893,0.3752482037461403,0.5949738253199206
17,olivais,12.098414300160734,0.6621491108532065,0.36702991195969076,0.4666468566926709,0.4982824451819181
18,parque das nacoes,14.738723506237092,0.6655704730677061,0.5337931712773417,0.3666192022091838,0.5221806262419886
19,penha de franca,19.9797704390252,0.6832209287030897,0.5920757496198925,0.3879036767678253,0.5544001178128131
20,santa clara,11.359497419634774,0.508976238580995,0.524331245186227,0.5487596489857467,0.5273557110575324
21,santa maria maior,8.909788874669204,0.685629730225003,0.7858087100091562,0.46523569709953994,0.6455580444429944
22,santo antonio,16.883540102750914,0.6877571059622892,0.5916836422432041,0.3371559330745385,0.5388655600640739
23,sao domingos de benfica,12.366838945562105,0.6345909499309865,0.4083237196011231,0.2263026829412971,0.4230724525966557
24,sao vicente,18.319875116773257,0.692890272171177,0.6596671896674559,0.38287977840086657,0.578479082018241
