budget,max_ben_trees,max_ben_ac,max_ben_ews,max_benefit,max_cost,best_ce_trees,best_ce_ac,best_ce_ews,best_ce_benefit,best_ce_cost
500000000.0,0.04,0.96,1.0,259.9117554394012,491814098.19876564,0.0,0.0,0.72,142.8619940969939,11995611.224821072
714285714.2857143,0.2,0.92,1.0,276.53456432630935,699796710.9324956,0.0,0.0,0.72,142.8619940969939,11995611.224821072
928571428.5714285,0.36,0.92,1.0,295.52176978937626,925229132.8979678,0.0,0.0,0.76,150.7987715468269,12662034.070644466
1142857142.857143,0.48,1.0,1.0,314.4909670389939,1129203067.8355563,0.0,0.0,0.84,166.6723264464929,13994879.76229125
1357142857.142857,0.64,1.0,1.0,333.47817250206083,1354635489.8010285,0.0,0.0,0.92,182.5458813461589,15327725.453938039
1571428571.4285715,0.8,0.96,1.0,350.100981388969,1562618102.5347583,0.0,0.0,0.92,182.5458813461589,15327725.453938039
1785714285.7142859,0.96,0.92,1.0,366.72379027587715,1770600715.2684884,0.0,0.0,0.96,190.48265879599188,15994148.29976143
2000000000.0,1.0,1.0,1.0,376.19938479396137,1861858439.223341,0.0,0.0,0.96,190.48265879599188,15994148.29976143
