policy,total_pv,public_pv,private_pv,public_share
Trees,1408952637.2842011,1408952637.2842011,0.0,1.0
AC,436245230.79355496,24240583.93901463,412004646.85454035,0.05556641592372167
EWS,16660571.145584824,16660571.145584824,0.0,1.0
