year,<15,15-64,65+
2020,0.3415563092140946,12.59239543349824,15.466090306306349
2030,0.29263168921264304,18.547062165255692,30.930187072995633
2040,0.37700032782321585,22.2333752856147,56.27346816415702
2050,0.2944486886524817,21.358347677181413,68.7238733235034
