zone_id,ac_base,ac_policy_income,ac_policy_uniform,pop_zone,zone_code,ac_base_pct,ac_policy_income_pct,ac_policy_uniform_pct
1,0.2590425908565521,0.699999988079071,0.4890230298042298,64301.87564846169,amager ost,25.904259085655212,69.9999988079071,48.90230298042298
2,0.28814506530761724,0.28814506530761724,0.5181254744529724,83735.43929677404,amager vest,28.814506530761726,28.814506530761726,51.81254744529724
3,0.1721500605344772,0.6999999880790712,0.402130514383316,54438.13787074876,bispebjerg,17.21500605344772,69.99999880790712,40.2130514383316
4,0.21366621553897855,0.699999988079071,0.44364663958549494,41507.79762716792,bronshoj husum,21.366621553897854,69.9999988079071,44.36466395854949
5,0.3839631676673889,0.3839631676673889,0.6139435768127441,54907.07538773166,indre by,38.39631676673889,38.39631676673889,61.394357681274414
6,0.19317340850830078,0.699999988079071,0.4231538474559784,75173.806240201,norrebro,19.317340850830078,69.9999988079071,42.31538474559784
7,0.36213478446006775,0.36213478446006775,0.5921152234077454,79400.08422555904,osterbro,36.213478446006775,36.213478446006775,59.211522340774536
8,0.23375882208347323,0.699999988079071,0.4637392461299896,66760.76861118712,valby,23.375882208347324,69.9999988079071,46.37392461299896
9,0.34082970023155207,0.34082970023155207,0.5708101391792297,41420.61285733152,vanlose,34.082970023155205,34.082970023155205,57.081013917922974
10,0.3190377354621887,0.3190377354621887,0.549018144607544,75377.72734529153,vesterbro kongens enghave,31.903773546218872,31.903773546218872,54.901814460754395
