year,<15,15-64,65+
2020,0.033115976303523885,0.0013639116037604878,0.051447309466216826
2030,0.028022087544733492,0.002556989634955202,0.11552458802407663
2040,0.035848257554738375,0.003966553729341595,0.23761580006385274
2050,0.02796858182362697,0.004037923257729713,0.29817645944607496
