scenario,target_gvi,total_dGVI,n_treated,dLST_popw_C,avoided_deaths_anchor,avoided_deaths_25y_raw,avoided_deaths_25y,capex_eur,cost_per_death
Q3 (baseline),14.0,19.907892733184568,7,-0.01426559779793024,0.2315042489968704,1.3178719914267596,0.647305323255964,199078927.33184567,307550270.6056441
Q3 + 5,19.0,67.90703883728807,10,-0.07657388597726822,1.4289142925611706,8.23928593602295,4.030130718857847,679070388.3728807,168498352.96789867
Q3 + 10,24.0,117.90703883728806,10,-0.14354509115219116,2.5605926651604536,14.762486150133519,7.234406683436849,1179070388.3728805,162980938.17041808
Max observed,35.0,227.90703883728804,10,-0.2908817529678345,4.5162344168818045,25.973202398564972,12.802203617269718,2279070388.3728805,178021726.29862684
