Scenario,Penetration,Activity share,Marginal (active deaths/°C),Waste heat ΔT (°C),Feedback deaths/yr
Current AC,26.5%,0.020964936566057264,0.6056567132562068,0.14313285188249536,0.08668937263013962
Policy AC,49.9%,0.020964936566057264,0.5599367771902908,0.28542358913426286,0.15981916463392484
Incremental policy vs current,+23.4%,0.020964936566057264,0.5599367771902908,0.1422907372517675,0.07312979200378522
