year,deaths_T,deaths_T_plus_dT,marginal_per_C,<15,15-64,65+
2020,6.281234811840084,21.363870367326953,15.08263555548687,0.0,0.6824271421138349,5.5988076697262485
2030,10.914454934620638,33.26019349422978,22.345738559609146,0.0,0.9205035652854149,9.993951369335223
2040,17.364637739297283,47.28178723856211,29.917149499264827,0.0,1.0164892119552742,16.34814852734201
2050,20.427894400742176,54.391977532750126,33.96408313200795,0.0,0.9561755561577916,19.471718844584384
