year,activity_share,activity_days_equiv,pen_base,pen_current,pen_policy,dT_night_base,dT_night_current,dT_night_policy,dT_night_incremental,dT_dm_base,dT_dm_current,dT_dm_policy,dT_dm_incremental,marginal_perC,marginal_current_full_perC,marginal_policy_full_perC,marginal_current_active_perC,marginal_policy_active_perC,penalty_base,penalty_current,penalty_policy,penalty_incremental
2020,0.00947219091537585,3.466821875027561,0.2474936093157493,0.2474936093157493,0.48798714809294436,0.267203076630338,0.267203076630338,0.5561430519378113,0.28893997530747334,0.133601538315169,0.133601538315169,0.27807152596890566,0.14446998765373667,0.13164020315592218,13.897545386488739,12.832756754268672,0.13164020315592218,0.1215543219470118,0.017587333645752566,0.017587333645752566,0.03380079579192121,0.016213462146168645
2021,0.009921692308789034,3.6299426645318356,0.24837730440971667,0.24837730440971667,0.48856701812410147,0.2681644249019819,0.2681644249019819,0.5568908330093679,0.28872640810738603,0.13408221245099095,0.13408221245099095,0.27844541650468396,0.14436320405369302,0.14447041239724143,14.561065582457514,13.446293161612234,0.14447041239724143,0.13340998344329066,0.0193709125279292,0.0193709125279292,0.037147398405750064,0.017776485877820863
2022,0.010371193702202217,3.7930634540361097,0.24925336637813447,0.24925336637813447,0.4891418793906062,0.26911752042672776,0.26911752042672776,0.5576321849085747,0.2885146644818469,0.13455876021336388,0.13455876021336388,0.27881609245428735,0.14425733224092346,0.1578971281438522,15.224585778426292,14.059829568955795,0.1578971281438522,0.14581721587959084,0.0212464418042874,0.0212464418042874,0.04065618634411078,0.01940974453982338
2023,0.010820695095615401,3.9561842435403842,0.25012189369509924,0.25012189369509924,0.4897117965099693,0.2700624690155989,0.2700624690155989,0.558367190192567,0.2883047211769681,0.13503123450779944,0.13503123450779944,0.2791835950962835,0.14415236058848405,0.17192035039575446,15.888105974395067,14.673365976299355,0.17192035039575446,0.1587760192559123,0.02321461715095217,0.02321461715095217,0.04432765987094233,0.02111304271999016
2024,0.011270196489028585,4.119305033044658,0.2509829831480892,0.2509829831480892,0.4902768329929633,0.27099937467853663,0.27099937467853663,0.5590959300110447,0.2880965553325081,0.13549968733926832,0.13549968733926832,0.27954796500552237,0.14404827766625405,0.1865400791529482,16.551626170363843,15.286902383642916,0.1865400791529482,0.1722863935722551,0.025276122401466844,0.025276122401466844,0.048162310721264416,0.022886188319797572
2025,0.011719697882441768,4.282425822548933,0.25183672987392025,0.25183672987392025,0.490837051267216,0.27192833966255914,0.27192833966255914,0.5598184841361368,0.28789014447357764,0.13596416983127957,0.13596416983127957,0.2799092420680684,0.14394507223678882,0.20175631441543349,17.21514636633262,15.900438790986477,0.20175631441543349,0.18634833882861918,0.027431629797713037,0.027431629797713037,0.052160622282162394,0.024728992484449357
2026,0.01216919927585495,4.4455466120532074,0.2526832273937854,0.2526832273937854,0.491392512700203,0.27284946448895325,0.27284946448895325,0.5605349309915085,0.2876854665025553,0.13642473224447663,0.13642473224447663,0.28026746549575426,0.14384273325127764,0.21756905618321024,17.878666562301394,16.513975198330037,0.21756905618321024,0.2009618550250045,0.02968180023447795,0.02968180023447795,0.05632306976918322,0.026641269534705272
2027,0.012618700669268134,4.608667401557482,0.25352256764740555,0.25352256764740555,0.49194327762165696,0.2737628479895287,0.2737628479895287,0.5612453476807331,0.2874824996912044,0.13688142399476436,0.13688142399476436,0.28062267384036654,0.1437412498456022,0.23397830445627857,18.542186758270173,17.1275116056736,0.23397830445627857,0.2161269421614112,0.03202728349785593,0.03202728349785593,0.06065012039827746,0.028622836900421535
2028,0.013068202062681318,4.771788191061756,0.2543548410263179,0.2543548410263179,0.49248940534541114,0.27466858734196253,0.27466858734196253,0.561949810014952,0.2872812226729895,0.13733429367098127,0.13733429367098127,0.280974905007476,0.14364061133649475,0.25098405923463835,19.20570695423895,17.74104801301716,0.25098405923463835,0.23184360023783915,0.03446871849766478,0.03446871849766478,0.0651422335534181,0.030673515055753317
2029,0.013517703456094501,4.93490898056603,0.2551801364063266,0.2551801364063266,0.4930309541906932,0.2755667781042595,0.2755667781042595,0.5626483925398406,0.28708161443558106,0.13778338905212975,0.13778338905212975,0.2813241962699203,0.14354080721779053,0.2685863205182897,19.869227150207724,18.354584420360723,0.2685863205182897,0.24811182925428843,0.03700673349405153,0.03700673349405153,0.06979986095002239,0.03279312745597086
