Strategy,Trees (%),AC (%),PV Cost (M€),Deaths Avoided,€/Death (M€)
Full Trees,100.0,0.0,453.65475202578426,95.37985469335007,4.756295273087822
Full AC,0.0,100.0,1547.2930996345667,544.9149462979399,2.8395130472133583
Max Benefit (Budget),3.0,96.0,1499.0110182099577,525.9797440868228,2.8499405824314743
Best €/Death (Budget),0.0,53.0,820.0653428063205,288.80492153790817,2.839513047213358
